,test_group,split_1,split_2,augur,wilcoxon,deseq2_100,edgeR_100,deseq2_200,edgeR_200,scXMatch,memento,effect_size,balanced_edistance,unbalanced_edistance,a1,E,var,Unnamed: 0.1,deseq2_500,edgeR_500
mcfarland_2,Trametinib_24,50,50,0.8718140589569161,836.0,582.0,735.0,470.0,690.0,1.0,2828,0.8776139038914278,107.08291916098494,109.166371895263,,,,,,
mcfarland_2,Trametinib_6,10,10,0.8149546485260771,337.0,28.0,115.0,19.0,106.0,0.999981142538475,368,0.62890625,139.2365695038999,116.16427314435106,,,,,,
mcfarland_2,Trametinib_6,10,30,0.8316780045351476,371.0,99.0,226.0,71.0,187.0,0.9986600441240728,481,0.3476159793814433,103.91077760054355,102.78327414658236,,,,,,
mcfarland_2,Trametinib_6,10,50,0.8532199546485262,380.0,126.0,232.0,90.0,233.0,0.9999421426327939,502,0.3849774096385542,98.09138270415292,102.40186763811568,,,,,,
mcfarland_2,Trametinib_6,30,10,0.8350793650793651,547.0,26.0,124.0,16.0,84.0,0.9999999966408846,844,0.6863589743589744,115.791759834505,116.50514811281828,,,,,,
mcfarland_2,Trametinib_6,30,30,0.8306235827664399,631.0,105.0,205.0,57.0,179.0,0.99999999862332,1221,0.5401709401709401,119.0694295208096,105.40904132135364,,,,,,
mcfarland_2,Trametinib_6,30,50,0.8337641723356009,654.0,134.0,229.0,85.0,215.0,0.9999999999999606,1334,0.5921450151057401,101.5029771708742,106.00385693860989,,,,,,
mcfarland_2,Trametinib_6,50,10,0.8405215419501133,598.0,60.0,140.0,37.0,110.0,0.9999999968958075,1080,0.6187499999999999,112.35026607125724,111.66152299337892,,,,,,
mcfarland_2,Trametinib_6,50,30,0.8073015873015873,721.0,150.0,243.0,98.0,213.0,0.9999999999999999,1690,0.6504295532646047,101.50748026510126,101.78361678295111,,,,,,
mcfarland_2,Trametinib_6,50,50,0.8240929705215421,762.0,176.0,257.0,110.0,239.0,1.0,1950,0.7056726907630522,118.64339709464878,102.34947880901832,,,,,,
mcfarland_3,BRD3379_24,10,10,0.6431972789115646,149.0,24.0,72.0,39.0,146.0,0.9986647856922602,419,0.5689149560117301,88.99189495650933,93.78767368784668,,,,,,
mcfarland_3,BRD3379_24,10,30,0.7257029478458048,245.0,108.0,210.0,66.0,209.0,0.9999999352972432,726,0.7084246789852804,68.41673780948383,100.75434330942971,,,,,,
mcfarland_3,BRD3379_24,10,50,0.7539342403628118,314.0,141.0,233.0,115.0,194.0,0.9999997434226069,844,0.5888376856118791,93.87658096657208,102.77329630201194,,,,,,
mcfarland_3,BRD3379_24,30,10,0.6701927437641723,210.0,46.0,160.0,75.0,196.0,0.9997012447137245,735,0.4761012183692595,85.17847834340114,79.16182068182366,,,,,,
mcfarland_3,BRD3379_24,30,30,0.7160430839002266,373.0,208.0,361.0,124.0,308.0,0.9999999999999419,1387,0.7209535256410255,86.38369312386448,87.66738129393576,,,,,,
mcfarland_3,BRD3379_24,30,50,0.7341723356009071,464.0,259.0,400.0,147.0,358.0,1.0,1758,0.766813942071674,90.35484718295282,89.17756788752445,,,,,,
mcfarland_3,BRD3379_24,50,10,0.674965986394558,248.0,77.0,188.0,95.0,262.0,0.9999998194579317,821,0.6027944111776447,88.7780790146403,76.62511839508943,,,,,,
mcfarland_3,BRD3379_24,50,30,0.7482879818594104,408.0,245.0,379.0,168.0,377.0,1.0,1706,0.7208104395604396,97.1542704881839,85.94030670484466,,,,,,
mcfarland_3,BRD3379_24,50,50,0.7449659863945578,501.0,303.0,468.0,211.0,458.0,1.0,2362,0.7539473684210526,88.3017646976956,87.32537624067675,,,,,,
mcfarland_3,BRD3379_6,10,10,0.6745011337868481,324.0,8.0,69.0,13.0,102.0,0.9917727574011068,571,0.4628099173553719,156.38184012647457,156.38179699461307,,,,,,
mcfarland_3,BRD3379_6,10,30,0.711859410430839,463.0,85.0,187.0,51.0,192.0,0.9998090691293869,918,0.4836716681376876,212.44144644912623,170.64027744044358,,,,,,
mcfarland_3,BRD3379_6,10,50,0.7557823129251701,506.0,121.0,203.0,63.0,187.0,0.9976002444090643,1106,0.3267596600929934,116.3767850165126,172.92622055848642,,,,,,
mcfarland_3,BRD3379_6,30,10,0.7167800453514741,521.0,17.0,121.0,15.0,87.0,0.999989539144975,993,0.6139315230224321,170.27525870912723,175.96447837473,,,,,,
mcfarland_3,BRD3379_6,30,30,0.7528231292517007,684.0,86.0,189.0,52.0,177.0,0.9999995326226504,1740,0.5260370697263901,187.64381294032853,196.1161132790445,,,,,,
mcfarland_3,BRD3379_6,30,50,0.7832993197278911,717.0,104.0,215.0,58.0,168.0,0.9999998698471239,2158,0.4719301862159004,215.26546601981863,200.3690939870324,,,,,,
mcfarland_3,BRD3379_6,50,10,0.7212698412698413,552.0,16.0,171.0,15.0,84.0,0.9999727070807259,1193,0.528125,194.7097868896216,178.6466800947669,,,,,,
mcfarland_3,BRD3379_6,50,30,0.753639455782313,752.0,85.0,226.0,56.0,208.0,0.9999999993040241,2259,0.5711538461538461,202.31264752170523,200.46283218842507,,,,,,
mcfarland_3,BRD3379_6,50,50,0.7901133786848071,792.0,120.0,263.0,69.0,190.0,0.9999999998571204,2694,0.5121052631578947,188.39867820164017,205.76889162691495,,,,,,
mcfarland_4,BRD3379_24,10,10,0.6465986394557822,152.0,59.0,190.0,71.0,168.0,0.9996623782633162,622,0.6014434643143545,88.15104038100912,83.48755193841316,,,,,,
mcfarland_4,BRD3379_24,10,30,0.6218707482993198,191.0,137.0,227.0,113.0,231.0,0.9962451408473866,709,0.3650126156433978,97.0646559939338,58.7535166765814,,,,,,
mcfarland_4,BRD3379_24,10,50,0.6385714285714286,195.0,200.0,302.0,163.0,299.0,0.9998531969540251,752,0.4166273027869627,123.2888711861359,55.65990885003703,,,,,,
mcfarland_4,BRD3379_24,30,10,0.6721655328798186,270.0,167.0,336.0,138.0,277.0,0.9999838132489987,1201,0.5482900136798905,86.30679746824785,79.76018372683131,,,,,,
mcfarland_4,BRD3379_24,30,30,0.6858049886621316,310.0,226.0,299.0,163.0,283.0,0.9999999999998423,1590,0.703012912482066,64.1603971506546,54.63915568565824,,,,,,
mcfarland_4,BRD3379_24,30,50,0.687562358276644,375.0,301.0,396.0,206.0,318.0,1.0,1816,0.7232876712328766,53.95928079661314,52.233508263700855,,,,,,
mcfarland_4,BRD3379_24,50,10,0.64156462585034,291.0,189.0,332.0,131.0,283.0,0.9999999827062038,1293,0.6317907444668007,64.47942157791431,70.11577276384503,,,,,,
mcfarland_4,BRD3379_24,50,30,0.6534467120181405,339.0,219.0,291.0,179.0,308.0,0.9999999999999684,1923,0.6388005452067242,46.81488586185196,47.824683938902695,,,,,,
mcfarland_4,BRD3379_24,50,50,0.6502267573696144,452.0,321.0,411.0,221.0,369.0,1.0,2375,0.7448636774777102,44.55655384251884,48.25631338445919,,,,,,
mcfarland_4,BRD3379_6,10,10,0.8111337868480727,324.0,28.0,97.0,21.0,73.0,0.9258773795061475,776,0.3181818181818181,300.0821409185278,239.289920501952,,,,,,
mcfarland_4,BRD3379_6,10,30,0.7630045351473923,317.0,72.0,138.0,41.0,142.0,0.8075161799380817,747,0.1495601173020527,192.3947006426804,182.5365293466912,,,,,,
mcfarland_4,BRD3379_6,10,50,0.7669614512471655,342.0,118.0,207.0,70.0,177.0,0.9436724409840039,840,0.2026688907422852,284.8951520860619,184.2503675469005,,,,,,
mcfarland_4,BRD3379_6,30,10,0.8395918367346938,626.0,77.0,140.0,37.0,107.0,0.9999996001631747,1613,0.6875,243.672380854988,255.2265369228592,,,,,,
mcfarland_4,BRD3379_6,30,30,0.7871768707482993,668.0,123.0,205.0,62.0,172.0,0.9989404921040336,2027,0.3402217741935484,226.545779821584,202.0408982284854,,,,,,
mcfarland_4,BRD3379_6,30,50,0.7915079365079366,747.0,223.0,309.0,109.0,258.0,0.999998727315645,2193,0.4360665137614679,261.696769670879,204.68250346301704,,,,,,
mcfarland_4,BRD3379_6,50,10,0.8215532879818593,647.0,81.0,260.0,29.0,89.0,0.9999036513070546,1925,0.4716981132075472,259.471961744871,231.4773247220752,,,,,,
mcfarland_4,BRD3379_6,50,30,0.760952380952381,718.0,112.0,187.0,51.0,147.0,0.9999460905530706,2595,0.3727936701156421,173.4182382542399,181.645813683132,,,,,,
mcfarland_4,BRD3379_6,50,50,0.7716326530612244,829.0,200.0,297.0,91.0,204.0,0.9999999995740816,2950,0.4967976458369396,146.49239378031984,182.7124877318041,,,,,,
mcfarland_5,BRD3379_24,10,10,0.5952721088435374,80.0,1.0,13.0,8.0,37.0,0.9867045047579404,310,0.4413793103448276,86.72091227355884,66.25443280764864,,,,,,
mcfarland_5,BRD3379_24,10,30,0.6804875283446712,176.0,70.0,131.0,39.0,154.0,0.9983800764801473,520,0.4249390456287008,91.44732474915838,75.04857794667987,,,,,,
mcfarland_5,BRD3379_24,10,50,0.680532879818594,202.0,115.0,166.0,64.0,265.0,0.9999413678602866,585,0.4765641131530044,111.38039374665982,66.81695282371095,,,,,,
mcfarland_5,BRD3379_24,30,10,0.6083219954648525,159.0,39.0,139.0,27.0,112.0,0.9999569055189331,529,0.5370370370370371,63.45469159334107,53.892982771727816,,,,,,
mcfarland_5,BRD3379_24,30,30,0.6589002267573697,352.0,86.0,165.0,52.0,172.0,0.9999999876458007,1196,0.5759637188208617,61.82043319182799,69.77790826643877,,,,,,
mcfarland_5,BRD3379_24,30,50,0.6581859410430839,367.0,123.0,177.0,68.0,209.0,0.9999999997382693,1474,0.558068783068783,64.15911557579534,61.96739105115557,,,,,,
mcfarland_5,BRD3379_24,50,10,0.651077097505669,214.0,66.0,201.0,26.0,80.0,0.999999990720858,596,0.6590909090909091,64.85021174002418,46.112395456917966,,,,,,
mcfarland_5,BRD3379_24,50,30,0.6985034013605442,408.0,96.0,154.0,55.0,162.0,1.0,1642,0.8004240657301882,72.78554383350934,62.12490426664738,,,,,,
mcfarland_5,BRD3379_24,50,50,0.6908956916099772,433.0,118.0,183.0,65.0,214.0,1.0,1884,0.6774118738404453,58.53576124259132,55.14601115255232,,,,,,
mcfarland_5,BRD3379_6,10,10,0.6460997732426305,227.0,14.0,86.0,17.0,55.0,0.44802069186449867,510,0.0439814814814815,229.67943164634767,156.49998841765637,,,,,,
mcfarland_5,BRD3379_6,10,30,0.690952380952381,405.0,71.0,152.0,43.0,173.0,0.9599045615366938,814,0.2797619047619047,230.93223982983736,191.9737611147599,,,,,,
mcfarland_5,BRD3379_6,10,50,0.6781632653061225,402.0,125.0,184.0,72.0,250.0,0.5588254794436707,831,0.0525793650793651,237.5515194577388,178.54515027078455,,,,,,
mcfarland_5,BRD3379_6,30,10,0.6616213151927437,384.0,42.0,119.0,18.0,66.0,0.8922575395773378,907,0.217741935483871,159.6642147026405,145.90078301591484,,,,,,
mcfarland_5,BRD3379_6,30,30,0.6975396825396823,613.0,68.0,146.0,34.0,132.0,0.9991198185847217,1697,0.3719552337063857,192.8507473399952,185.96445543896917,,,,,,
mcfarland_5,BRD3379_6,30,50,0.7107596371882088,631.0,121.0,181.0,58.0,237.0,0.992595138567992,1842,0.2524961597542242,139.06611972103065,174.37306997956716,,,,,,
mcfarland_5,BRD3379_6,50,10,0.6539229024943312,475.0,67.0,265.0,18.0,36.0,0.9141292331777288,1059,0.2019417475728155,209.78991294631567,145.80299786070304,,,,,,
mcfarland_5,BRD3379_6,50,30,0.7137528344671202,743.0,93.0,165.0,40.0,136.0,0.9999217355498374,2209,0.3889379229185055,192.0013626270588,187.68511167525676,,,,,,
mcfarland_5,BRD3379_6,50,50,0.7115873015873017,759.0,128.0,188.0,68.0,218.0,0.9981810721332767,2693,0.2649845939189582,200.3150299856052,175.09222613393865,,,,,,
norman,1,10,10,0.6419614512471655,934.0,316.0,390.0,,,1.0,2772,0.3170008819234606,44.49558272511675,41.54836193699742,232.0,339.6783302639656,141.4157218446856,,,
norman,1,10,30,0.6258390022675737,972.0,420.0,489.0,,,1.0,2978,0.2579321748354287,32.4547374186738,39.90504468389773,314.0,423.1419141914191,90.74215780106016,,,
norman,1,10,50,0.6295918367346939,980.0,493.0,522.0,,,1.0,3056,0.2365868956865772,41.06428948282192,41.655605042599234,340.0,445.3683046294833,62.55968340885436,,,
norman,1,30,10,0.5938548752834467,1051.0,502.0,589.0,,,1.0,3589,0.2631233021834104,42.36750402696904,41.44660633126426,470.0,637.8271987601705,314.9947330589266,,,
norman,1,30,30,0.60718820861678,1144.0,700.0,829.0,,,1.0,4093,0.2918129730505858,36.21858864865348,40.03268270686172,718.0,1013.8564710693108,420.0822611814471,,,
norman,1,30,50,0.6252267573696144,1156.0,777.0,877.0,,,1.0,4275,0.2654778803610575,42.10432655860728,41.80969331383449,846.0,1151.7692624639474,364.1765804902545,,,
norman,1,50,10,0.5834240362811791,1105.0,577.0,642.0,,,1.0,3850,0.2022347963575673,42.4787519538852,42.41863981319037,618.0,774.6640204139495,340.04520879630644,,,
norman,1,50,30,0.6076643990929704,1190.0,790.0,903.0,,,1.0,4544,0.3120458709799709,40.851980914780285,41.046506057701095,970.0,1409.977728285078,680.9347785884024,,,
norman,1,50,50,0.6020068027210884,1224.0,879.0,998.0,,,1.0,4767,0.2965971272229822,42.60437151521805,42.90558645250428,1190.0,1691.7758599732588,695.5413457819541,,,
norman,2,10,10,0.7928911564625851,686.0,243.0,296.0,,,0.999999999999998,1152,0.5615809357744842,176.1916916379297,157.58441098630618,19.0,43.3375314861461,3.086297903829366,,,
norman,2,10,30,0.7781292517006804,698.0,300.0,340.0,,,0.9999999999999929,1165,0.437377533648132,134.14270963006726,150.23478378093034,25.0,44.43477019697402,1.1025501469642485,,,
norman,2,10,50,0.8006349206349208,699.0,316.0,347.0,,,1.0,1179,0.440263762993368,162.88968286695336,152.28509888907857,25.0,44.66389407570871,0.6623194226287719,,,
norman,2,30,10,0.7978231292517007,1015.0,392.0,466.0,,,1.0,2586,0.7156383690517224,204.10070107824708,193.10822403910956,33.0,116.04941176470588,20.976302528153266,,,
norman,2,30,30,0.8090362811791384,1036.0,503.0,542.0,,,1.0,2608,0.6704092906719019,164.1675990835805,188.11766298465847,41.0,124.39671034290494,8.563539656230788,,,
norman,2,30,50,0.8133786848072562,1027.0,536.0,573.0,,,1.0,2616,0.6118396368375487,182.48998366514545,190.2485272581777,49.0,126.23648535564854,5.29362589974593,,,
norman,2,50,10,0.8182879818594104,1123.0,486.0,535.0,,,1.0,3369,0.7185460880582832,191.92705879118944,200.23347343255537,52.0,184.7549378200439,49.7430507121879,,,
norman,2,50,30,0.8400566893424036,1140.0,598.0,663.0,,,1.0,3413,0.6906672275093327,199.54232339843784,196.23959533572625,64.0,206.89692684253467,23.183369474853123,,,
norman,2,50,50,0.8556802721088436,1143.0,646.0,702.0,,,1.0,3439,0.6416086307673174,222.6933618689428,199.2571435058162,76.0,212.05867809461017,14.75905169897408,,,
