test_group,split_1,split_2,k,p,a1,E,var,z,s,effect_size
D5.5,split_10,split_10,100,4.47771325175184e-142,0,230.1105527638191,106.18480551965067,-22.330854799721422,1.0,1.0
D5.5,split_10,split_30,100,2.2354119503007145e-246,1,404.5535203205495,187.11632926467476,-29.501581337734155,0.9994282447112636,0.9975281391712828
D5.5,split_10,split_50,100,2.459373334051057e-309,0,475.291683247115,179.55148743976804,-35.470369398132505,1.0,1.0
D5.5,split_30,split_10,100,4.177824588103186e-214,2,305.35306553911204,78.65860479779445,-34.20387169420275,1.0,0.9934502049407333
D5.5,split_30,split_30,100,0.0,1,715.9335899903754,328.6324055772177,-39.437602854274125,0.9996793844180827,0.9986032224022154
D5.5,split_30,split_50,100,0.0,2,970.1952098892609,484.57023967131033,-43.982970850598505,1.0,0.9979385591893117
D5.5,split_50,split_10,100,3.7195718726031143e-250,2,324.62085956747876,57.54811372597168,-42.52818978869712,0.9997264021887825,0.9938389664710248
D5.5,split_50,split_30,100,0.0,1,832.1613342409803,314.03419971463677,-46.902593506676936,1.0,0.9987983099444147
D5.5,split_50,split_50,100,0.0,2,1196.312512086637,553.2858634408797,-50.77421236578834,0.9998066885752948,0.9983281960359074
D12.5,split_10,split_10,100,1.7754414467270094e-78,0,126.29294755877034,57.43599149010362,-16.66429856986254,0.9981981981981982,1.0
D12.5,split_10,split_30,100,1.6244740223980223e-117,1,166.05585309869932,42.005349417989436,-25.46704928357639,1.0,0.9939779298269864
D12.5,split_10,split_50,100,1.9385160440969645e-140,0,175.9208112023177,29.74597486986873,-32.25545077576319,0.9995176073323685,1.0
D12.5,split_30,split_10,100,4.2784920122314014e-141,0,228.79187817258884,106.0364834986127,-22.218408388298027,0.9989868287740629,1.0
D12.5,split_30,split_30,100,1.2962376236195148e-244,1,401.29442208165614,184.95787999052243,-29.433582072536783,1.0,0.9975080640423242
D12.5,split_30,split_50,100,1.4369513677900194e-300,2,469.68757491010786,176.03896877251347,-35.249375260923465,0.9996007984031936,0.9957418503131943
D12.5,split_50,split_10,100,6.725381054504112e-178,0,271.660970608339,100.65437642882478,-27.077646655936924,0.9993174061433447,1.0
D12.5,split_50,split_30,100,0.0,1,554.7428958051421,277.3678894360899,-33.2491139680621,1.0,0.9981973631252211
D12.5,split_50,split_50,100,0.0,2,695.5088896343509,324.2948013902473,-38.51075553065944,0.999664767013074,0.9971244077109475
D13.5,split_10,split_10,100,5.482665434908775e-80,2,137.55593803786576,64.8845601085986,-16.828595215941313,1.0,0.9854604604604604
D13.5,split_10,split_30,100,2.5570082831061896e-123,3,184.52588147036758,50.886964764756996,-25.44692328845691,0.9992509363295881,0.9837421180373456
D13.5,split_10,split_50,100,1.3210922972517274e-144,4,198.62601238685087,37.437927309789785,-31.808631602347024,1.0,0.9798616507881683
D13.5,split_30,split_10,100,1.1088704988574609e-143,2,238.87535145267103,106.70902944635576,-22.930804237997208,0.9990645463049579,0.991627432517263
D13.5,split_30,split_30,100,6.114270412977761e-257,3,433.34266886326196,205.99508080117803,-29.98375248777413,1.0,0.9930770722212295
D13.5,split_30,split_50,100,2.50763e-319,4,514.3613152804642,204.45466615700244,-35.69268627140161,0.9996134518747584,0.9922233654025499
D13.5,split_50,split_10,100,3.5989391566352724e-176,2,275.14116874589627,99.18148792914117,-27.426592489187115,1.0,0.9927310042000763
D13.5,split_50,split_30,100,0.0,1,568.9753846153847,284.3502093388557,-33.68237743676372,0.9995608256477821,0.9982424547229297
D13.5,split_50,split_50,100,0.0,2,718.839855310753,339.5932199591139,-38.89937630111168,1.0,0.9972177391317077
D15.5,split_10,split_10,100,3.3736610066873974e-124,2,211.95876288659792,102.67407210454753,-20.720661300554926,1.0,0.9905642023346304
D15.5,split_10,split_30,100,7.672568694655408e-213,3,351.36553846153845,151.70225025250195,-28.28389231514297,0.9993853718500307,0.9914618832195794
D15.5,split_10,split_50,100,3.575880745551675e-265,2,403.7189460476788,136.11156839832643,-34.43299467682339,1.0,0.9950460586019567
D15.5,split_30,split_10,100,3.8244558738817504e-194,2,290.9246392303581,90.258128488051,-30.411750412148773,1.0,0.993125367430923
D15.5,split_30,split_30,100,0.0,1,641.1524971406786,313.18990621334393,-36.17258664366754,0.9996190476190476,0.9984403086559599
D15.5,split_30,split_50,100,0.0,2,837.8683977574506,414.04522206252136,-41.078447071217006,1.0,0.9976129902913715
D15.5,split_50,split_10,100,7.408054484011263e-235,0,314.3805153547476,69.60136200590742,-37.6831112441183,1.0,1.0
D15.5,split_50,split_30,100,0.0,1,767.76820083682,328.6074473990348,-42.29854150489517,0.9997212155004181,0.9986975235508451
D15.5,split_50,split_50,100,0.0,2,1067.8400367731556,523.897219636202,-46.566005279593526,1.0,0.9981270602982412
D11.5,split_10,split_10,100,3.606942807338948e-84,0,136.78756476683938,64.38145688067743,-17.047716629248296,0.9982788296041308,1.0
D11.5,split_10,split_30,100,6.27112223319856e-128,1,184.52588147036758,50.886964764756996,-25.727290176994632,1.0,0.9945807060124485
D11.5,split_10,split_50,100,1.7500395457426627e-153,0,197.02432045779685,36.870222941669525,-32.44755344682458,0.9995235826584088,1.0
D11.5,split_30,split_10,100,6.899563737174721e-142,2,236.56160458452723,106.65039456272092,-22.713062221353624,0.9990467111534795,0.9915455426356589
D11.5,split_30,split_30,100,6.296228731058813e-258,1,425.79511382565244,201.08469576873225,-29.956426382824116,1.0,0.9976514526176328
D11.5,split_30,split_50,100,1.035156e-318,2,503.72865497076026,197.61125960490085,-35.69135715078715,0.9996104402025711,0.9960296084404487
D11.5,split_50,split_10,100,2.7511450758182597e-174,2,273.3199195171026,99.97375216295279,-27.135553433352097,0.999330207635633,0.9926825677267374
D11.5,split_50,split_30,100,0.0,1,561.7055679287305,280.8305300706277,-33.45898089273073,1.0,0.9982197078734906
D11.5,split_50,split_50,100,0.0,2,706.5124626121635,331.52866469151417,-38.692619970732395,0.9996678844237795,0.9971691936011922
D14,split_10,split_10,100,2.4799599106496755e-113,0,187.44993324432576,93.5743709238497,-19.37790542700991,0.9986684420772304,1.0
D14,split_10,split_30,100,6.681397890698593e-185,1,289.54291417165666,111.3198617359676,-27.34790638308461,1.0,0.9965462805302597
D14,split_10,split_50,100,1.2851545916987688e-226,0,323.0789589766211,91.88250311208883,-33.70483968985143,0.999559277214632,1.0
D14,split_30,split_10,100,3.620433306118183e-174,2,273.2034922766958,100.02279045044502,-27.117259330934964,1.0,0.9926794493608653
D14,split_30,split_30,100,0.0,1,560.7215528781794,280.34652819047676,-33.42908113255025,0.9995541685242978,0.998216583623606
D14,split_30,split_50,100,0.0,2,705.7332889923512,331.0174654928247,-38.67965934734039,1.0,0.9971660682141612
D14,split_50,split_10,100,6.20075476773006e-210,2,302.5855175477566,81.15198747185055,-33.36710068718702,0.9995561473590768,0.9933902983321587
D14,split_50,split_30,100,0.0,3,701.1344425956739,326.9319827847823,-38.6109387106676,1.0,0.9957212200432007
D14,split_50,split_50,100,0.0,2,942.7370655346245,471.3620587561988,-43.33022505870039,0.9997348183505701,0.9978785176979693
D4.5,split_10,split_10,100,1.9780462825218105e-146,0,235.850144092219,106.62067434885131,-22.84101680940747,1.0,1.0
D4.5,split_10,split_30,100,2.669657234340633e-259,0,422.96932515337426,199.3077394701814,-29.96034365916327,0.9994428969359331,1.0
D4.5,split_10,split_50,100,8.4e-323,0,500.50644783118406,195.54649814060116,-35.791891910315805,1.0,1.0
D4.5,split_30,split_10,100,7.315443581363752e-225,0,308.6123260437376,75.55348623961993,-35.50471358531065,1.0,1.0
D4.5,split_30,split_30,100,0.0,1,734.1643709825528,329.7170960179019,-40.376681184964895,0.9996940960538391,0.9986379072050832
D4.5,split_30,split_50,100,0.0,0,1003.9593354822713,499.59334555520786,-44.91669570503078,1.0,1.0
D4.5,split_50,split_10,100,2.7647043601149753e-262,0,327.25614390676463,54.128936669616365,-44.48084827379549,1.0,1.0
D4.5,split_50,split_30,100,0.0,1,849.6128963609278,307.0012607053199,-48.432796739012275,0.9997872793022761,0.9988229933840655
D4.5,split_50,split_50,100,0.0,0,1232.9851784080513,556.1118304944265,-52.28496106240176,1.0,1.0
D5,split_10,split_10,100,4.539964538353018e-148,0,237.96033994334277,106.69283452413985,-23.03758518234904,1.0,1.0
D5,split_10,split_30,100,5.2990550897034025e-260,1,429.58972943125343,203.55748579699977,-30.039881869539816,0.9994484280198566,0.997672197607415
D5,split_10,split_50,100,0.0,0,510.128055878929,201.72466434092175,-35.916971383121954,1.0,1.0
D5,split_30,split_10,100,5.373188414373826e-225,0,308.69392616117506,75.47337792820011,-35.53294391808759,0.9996033320111067,1.0
D5,split_30,split_30,100,0.0,1,734.858845096242,329.7356547667908,-40.41378975685856,1.0,0.998639194443024
D5,split_30,split_50,100,0.0,0,1004.8253653703244,499.95994524224824,-44.9389565047497,0.9997524139638524,1.0
D5,split_50,split_10,100,2.0757440434161665e-262,0,327.3058436630407,54.06317866479971,-44.51465080327494,0.9997471554993679,1.0
D5,split_50,split_30,100,0.0,1,850.0605481198215,306.80249730994757,-48.47403996032478,1.0,0.9988236132094216
D5,split_50,split_50,100,0.0,0,1233.6925607749954,556.1395655332934,-52.313653233904105,0.9998172848529143,1.0
D8,split_10,split_10,100,7.125587443591042e-170,2,268.9217758985201,101.69371880947824,-26.46896386471646,1.0,0.992562893081761
D8,split_10,split_30,100,5.0817e-319,3,542.9143251957623,271.28911957360464,-32.779978351088346,0.9995398067188219,0.9944742662685898
D8,split_10,split_50,100,0.0,2,677.7936670071501,312.5904336408807,-38.22313251869877,1.0,0.9970492495026825
D8,split_30,split_10,100,5.35637964079121e-244,4,324.10996945292976,58.1957000996533,-41.9617653988595,1.0,0.987658509836178
D8,split_30,split_30,100,0.0,3,828.6774638180565,315.2735746155405,-46.501466105669614,0.9997703788748565,0.996379773638132
D8,split_30,split_50,100,0.0,6,1189.387771049033,552.454126304451,-50.34762237639115,1.0,0.9949553878507528
D8,split_50,split_10,100,1.0240420498547704e-283,4,338.0912018986269,38.652728370140565,-53.737191081409634,1.0,0.988168872843963
D8,split_50,split_30,100,0.0,7,926.914298601714,258.157077050295,-57.253936465362976,0.9998496918683301,0.9924480612602915
D8,split_50,split_50,100,0.0,8,1402.7396521504652,530.3508542314383,-60.56357617988814,1.0,0.9942968746996382
D7.5,split_10,split_10,100,1.9933666222571112e-124,2,212.29714285714286,102.76696385440775,-20.744673761582664,0.9988597491448119,0.9905792420327304
D7.5,split_10,split_30,100,7.768007309213557e-214,3,353.23572744014734,152.9468265675844,-28.319801897175857,1.0,0.9915070878539365
